id,author,text,time,parent
41070333,Smaug123,"So I am extremely hyped about this, but it&#x27;s not clear to me how much heavy lifting this sentence is doing:<p>&gt; First, the problems were manually translated into formal mathematical language for our systems to understand.<p>The non-geometry problems which were solved were all of the form &quot;Determine all X such that…&quot;, and the resulting theorem statements are all of the form &quot;We show that the set of all X is {foo}&quot;. The downloadable solutions from <a href=""https:&#x2F;&#x2F;storage.googleapis.com&#x2F;deepmind-media&#x2F;DeepMind.com&#x2F;Blog&#x2F;imo-2024-solutions&#x2F;index.html"" rel=""nofollow"">https:&#x2F;&#x2F;storage.googleapis.com&#x2F;deepmind-media&#x2F;DeepMind.com&#x2F;B...</a> don&#x27;t make it clear whether the set {foo} was decided by a human during this translation step, or whether the computer found it. I <i>want</i> to believe that the computer found it, but I can&#x27;t find anything to confirm. Anyone know?",2024-07-25 18:29:41,41069829
41069970,adverbly,"&gt; First, the problems were manually translated into formal mathematical language for our systems to understand. In the official competition, students submit answers in two sessions of 4.5 hours each. Our systems solved one problem within minutes and took up to three days to solve the others.<p>Three days is interesting... Not technically silver medal performance I guess, but let&#x27;s be real I&#x27;d be okay waiting a month for the cure to cancer.",2024-07-25 18:29:41,41069829
41070315,golol,This is the real deal. AlphaGeometry solved a very limited set of problems with a lot of brute force search. This is a much broader method that I believe will have a great impact on the way we do mathematics. They are really implementing a self-feeding pipeling from natural language mathematics to formalized mathematics where they can train both formalization and proving. In principle this pipeline can also learn basic theory building like creating auxilliary definitions and Lemmas. I really think this is the holy grail of proof-assistance and will allow us to formalize most mathematics that we create very naturally. Humans will work podt-rigorously and let the machine asisst with filling in the details.,2024-07-25 18:29:41,41069829
41070218,Ericson2314,The lede is a bit buried: they&#x27;re using Lean!<p>This is important for more than Math problems. Making ML models wrestle with proof systems is a good way to avoid bullshit in general.<p>Hopefully more humans write types in Lean and similar systems as a much way of writing prompts.,2024-07-25 18:29:41,41069829
41070172,osti,"So they weren&#x27;t able to solve the combinatorics problem. I&#x27;m not super well versed in competition math, but combinatorics always seem to be the most interesting problems to me.",2024-07-25 18:29:41,41069829
41070346,,,2024-07-25 17:41:26,41069256
41070079,andrewmcwatters,"Hmm, yeah I don&#x27;t know. This reads like a lot of fluff or immediately unimportant stuff.<p>Reverse engineering in the real world takes a few forms, some of which the write takes on too briefly towards the end of the material. Applied reverse engineer is usually modifying an existing piece of software so:<p><pre><code>    * .dll&#x2F;lib injection
    * signature scanning and patching
    * packet interception and rewriting
    * mitm HTTP(s) calls
</code></pre>
These are just a few places where you see reverse engineering used, usually to modify existing software.<p>I&#x27;m curious if there&#x27;s any reading out there that covers this stuff from the meat and potatoes and less of this CS 101 stuff.<p>I&#x27;ve done all of the above, and you can usually learn about this stuff from some different forums on the web, but I don&#x27;t know of any good bibles on the subject matter.",2024-07-25 17:41:26,41069256
41069823,kstrauser,"So you’re setting up a multi-region RDS. If region A goes down, do you continue to accept writes to region B?<p>A bank: No! If region A goes down, do <i>not</i> process updates in B until A is back up! We’d rather be down than wrong!<p>A web forum: Yes! We can reconcile later when A comes back up. Until then keep serving traffic!<p>CAP theorem doesn’t let you treat the cloud as a magic infinite availability box. You still have to design your system to pick the appropriate behavior <i>when</i> something breaks. No one without deep insight into your business needs can decide for you, either. You’re on the hook for choosing.",2024-07-25 17:52:38,41069403
41069878,mordae,"You wish.<p>&gt; DNS, multi-cast, or some other mechanism directs them towards a healthy load balancer on the healthy side of the partition<p>Incidentally that&#x27;s where CAP makes it&#x27;s appearance and bites your ass.<p>No amount of VRRP, UCARP wishful thinking can guarantee a conclusion on what partition is &quot;correct&quot; in presence of a network partition between load balancer nodes.<p>Also, who determines where to point the DNS? A single point of failure VPS? Or perhaps a group of distributed machines voting? Yeah.<p>You still need to perform the analysis. It&#x27;s just that some cloud providers offer the distributed voting clusters as a service and take care of the DNS and load balancer switchover for you.<p>And that&#x27;s still not enough, because you might not want to allow stragglers write to orphan databases before the whole network fencing kicks in.",2024-07-25 17:52:38,41069403
41070156,bunderbunder,"I once lost an entire Christmas vacation to fixing up the damage caused when an Elasticsearch cluster running in AWS responded poorly to a network partition event and started producing results that ruined our users&#x27; day (and business records) in a &quot;costing millions of dollars&quot; kind of way.<p>It was a very old version of ES, and the specific behavior that led to the problem has been fixed for a long time now. But still, the fact that something like this can happen in a cloud deployment demonstrates that this article&#x27;s advice rests on an egregiously simplistic perspective on the possible failure modes of distributed systems.<p>In particular, the major premise that intermittent connectivity is only a problem on internetworks is just plain wrong. Hubs and switches flake out. Loose wires get jiggled. Subnetworks get congested.<p>And if you&#x27;re on the cloud, nobody even tries to pretend that they&#x27;ll tell you when server and equipment maintenance is going to happen.",2024-07-25 17:52:38,41069403
